codigo,nome,grupo,fornecedor,conversoes,medidas,observacoes,aplicacoes_json
"7650","BUCHA DA BARRA ESTABILIZADORA - SUSPENSÃO DIANTEIRA - (Ø25MM)","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": ""NONE"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8519","BUCHA TRASEIRA DA BANDEJA - SUSPENSÃO DIANTEIRA","SUSPENSÃO","SAMPEL","MOBENSANI
MB9396","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8520","BUCHA DIANTEIRA DA BANDEJA - SUSPENSÃO TRASEIRA","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": ""NONE"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8521","BUCHA TRASEIRA E DIANTEIRA DO FEIXE DE MOLAS E JUMELO - SUSPENSÃO TRASEIRA","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2002/"", ""motor"": ""NONE"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8522","BUCHA DO JUMELO - SUSPENSÃO TRASEIRA","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": ""NONE"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8543A","COXIM DO AMORTECEDOR DIANTEIRO - COM ROLAMENTO","SUSPENSÃO","SAMPEL","ORIGINAL
543207065R","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": """", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8560","COXIM DO MOTOR - LADO DIREITO","MOTOR E CÂMBIO","SAMPEL","ORIGINAL
8200676857","","","[{""veiculo"": ""MASTER"", ""ano"": ""2014/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8565","LIMITADOR DE TORÇÃO DO MOTOR","MOTOR E CÂMBIO","SAMPEL","ORIGINAL
8200676857","","","[{""veiculo"": ""MASTER"", ""ano"": ""2014/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8566","COXIM DO CÂMBIO - LADO ESQUERDO","MOTOR E CÂMBIO","SAMPEL","ORIGINAL
8200676857","","","[{""veiculo"": ""MASTER"", ""ano"": ""2014/"", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"8742","BUCHA DA BARRA ESTABILIZADORA - SUSPENSÃO TRASEIRA (FURO 21 MM)","SUSPENSÃO","SAMPEL","RENAULT 
546135490R","FURO 21 MM","","[{""veiculo"": ""MASTER"", ""ano"": ""2014/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK7909","KIT JUNTA HOMOCINETICA - LADO RODA","TRANSMISSÃO","SAMPEL","ORIGINAL
26059672","","","[{""veiculo"": ""MASTER"", ""ano"": ""1999/"", ""motor"": ""2.3, 2.5, 2.8"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK8023","BIELETA DA BARRA ESTABILIZADORA SUSPENSÃO DIANTEIRA ( LADO DIREITO )","SUSPENSÃO","SAMPEL","AXIOS
5312201
BORFLEX
KB12217
GETOFLEX
B00109211
KIT&CIA
50227
SOLOPES
SL-107
VGER
4950
ZAP
196
ORIGINAL
7700307343
7700309071 
8200713523
MOBENSANI
MB9117","","","[{""veiculo"": ""MASTER"", ""ano"": ""1998 / 2013"", ""motor"": """", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK8024","BIELETA DA BARRA ESTABILIZADORA SUSPENSÃO DIANTEIRA ( LADO ESQUERDO )","SUSPENSÃO","SAMPEL","MOBENSANI
MB9118
AXIOS
5312202
BORFLEX
KB21218
GETOFLEX
B00109210
KIT&CIA
50228
ORIGINAL
7700799407
SOLOPES
SL-106
VGER
4949
ZAP
195","","","[{""veiculo"": ""MASTER"", ""ano"": ""1998 / 2013"", ""motor"": """", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK8064","BIELETA DA BARRA ESTABILIZADORA SUSPENSÃO DIANTEIRA","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": ""NONE"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK8066","BIELETA DA BARRA ESTABILIZADORA SUSPENSÃO TRASEIRA","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/"", ""motor"": ""NONE"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK91016","KIT DO AMORTECEDOR DIANTEIRO - COM ROLAMENTO","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2014/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
"SK91016S","KIT DO AMORTECEDOR DIANTIERO - COM ROLAMENTO","SUSPENSÃO","SAMPEL","","","","[{""veiculo"": ""MASTER"", ""ano"": ""2013/..."", ""motor"": ""2.3 16V"", ""conf_mtr"": """", ""montadora"": ""RENAULT""}]"
